time,ncells,lon,lat,O3,CO,NO,NO2,SO2,PM1,PM2.5,PM10,StationName
2024-02-06 04:00:00,15,150.914185,-33.794246,2.3938594,0.11214732,0.1567472,0.3113804,0.0228615,1.2833893,2.156657,8.923312,Albion_Park_Sth
2024-02-06 04:00:00,16,151.242802,-33.931776,2.2123547,0.07930424,0.0848794,0.10521368,0.037202306,0.9526502,1.8996333,19.765684,Albion_Park_Sth
2024-02-06 04:00:00,17,150.747347,-33.616436,2.4417458,0.08993494,0.051445764,0.23863037,0.03482523,0.8648513,1.3981797,3.562916,Albion_Park_Sth
2024-02-06 04:00:00,18,151.163933,-33.864353,2.1701105,0.09887493,0.30841494,0.2942855,0.0147330025,1.2725611,2.3743405,18.802544,Albion_Park_Sth
2024-02-06 04:00:00,19,150.766799,-33.795155,2.3293068,0.09271025,0.110509254,0.24758922,0.037543323,1.0128765,1.4802305,4.8792515,Albion_Park_Sth
2024-02-06 04:00:00,20,150.887328,-34.417064,1.8548584,0.14424211,0.17211632,0.312207,0.12174114,1.0197934,1.7996236,15.132511,Albion_Park_Sth
2024-02-06 04:00:00,21,151.432414,-33.278966,2.3024082,0.0754214,0.022275355,0.053208236,0.003956277,0.8193322,1.6321739,15.096864,Albion_Park_Sth
2024-02-06 05:00:00,0,150.782544,-34.577839,1.9066987,0.055044115,0.058156475,0.047922585,0.00027425008,1.7747792,2.783765,16.656408,Albion_Park_Sth
2024-02-06 05:00:00,1,150.580539,-34.306187,1.897545,0.056305055,0.040483538,0.05182144,0.00012785212,0.38441688,0.86284506,7.7208776,Albion_Park_Sth
2024-02-06 05:00:00,2,149.57333,-33.40333,,,,,,,,,Albion_Park_Sth
2024-02-06 05:00:00,3,150.761939,-33.917658,2.1485682,0.067317665,0.034477487,0.113428995,0.038759973,1.0808139,1.6872532,9.147534,Albion_Park_Sth
2024-02-06 05:00:00,4,150.690141,-34.041702,2.0370665,0.063877895,0.029114498,0.09335487,0.0067427084,0.6601673,1.2348363,9.3742285,Albion_Park_Sth
2024-02-06 05:00:00,5,150.795546,-34.066648,2.009652,0.08151837,0.1386978,0.22438443,0.042323746,0.93808293,1.612985,10.748563,Albion_Park_Sth
2024-02-06 05:00:00,6,151.046062,-33.891572,2.0189376,0.08433269,0.19798444,0.26531234,0.0037039302,1.049771,1.988191,16.427599,Albion_Park_Sth
2024-02-06 05:00:00,7,151.135792,-33.916185,1.9290231,0.08865275,0.29444912,0.2912772,0.01220783,1.0551639,2.1030388,20.129852,Albion_Park_Sth
2024-02-06 05:00:00,8,150.81916,-34.47442,1.9381326,0.06064,0.0824381,0.08664791,0.0006568529,0.8292433,1.6749978,15.752605,Bargo
2024-02-06 05:00:00,9,151.046778,-33.881407,2.0100565,0.08679991,0.21512423,0.29374593,0.003985004,1.0538563,1.9909275,16.308004,Bargo
2024-02-06 05:00:00,10,150.90731,-33.931338,2.0603333,0.10046083,0.20367603,0.30433744,0.023914684,1.0072849,1.7558008,12.300673,Bargo
