Segment,RMSE,MAE,Pearson's r,R²,Max Error,MAPE
S1753,7.144248,6.286518,-0.238272,-0.216774,12.742766,3019957785327572.5
S1754,6.879307,6.182861,-0.241899,-0.083907,11.796264,3225548984816880.0
S1755,6.594693,5.990805,0.256533,0.020625,10.971187,3391541909282564.0
S1756,6.640633,6.139626,0.392865,0.010311,10.651666,3997569919039582.0
S1757,6.81148,6.50975,0.61448,-0.073077,11.53201,4327962994902736.5
S1758,7.680656,7.16602,0.695747,-0.894381,13.561881,5089773518170251.0
S1759,9.296414,8.534804,0.338278,-4.749762,16.95664,6363826465454637.0
S1760,10.271456,9.877027,-0.295388,-34.048341,17.434292,6543089246222368.0
S1761,6.541325,6.363028,0.158774,-17.165113,9.51928,2.252739
S1762,5.30875,5.050098,0.002534,-10.070478,8.412768,1.853853
S1763,4.294098,3.847821,-0.038426,-4.842918,7.435548,1.499446
S1764,4.168626,3.677438,-0.134126,-4.506452,7.922535,1.475907
S1765,3.648337,2.995961,-0.135494,-2.929339,7.159486,1.254903
S1766,3.570818,2.993956,-0.010542,-2.700411,6.956531,1.225427
S1767,3.954302,3.465307,0.014299,-3.736341,6.823852,1.368063
S1768,4.1087,3.712586,0.175534,-4.386731,7.519785,1.454401
S1769,4.090027,3.701808,0.314035,-3.987428,6.789798,1.472183
S1770,3.54033,3.088993,0.369483,-2.622526,6.263428,1.236098
S1771,3.151388,2.644971,0.54424,-1.454727,5.115044,1.038954
S1772,2.453114,1.86503,0.329218,-0.753492,5.416552,0.675521
S1773,2.118228,1.773979,-0.211449,-1.379349,4.367225,0.406709
S1774,3.074567,2.331872,-0.260394,-1.45691,7.310676,1.631257
S1775,3.829233,3.158731,-0.02762,-2.466437,7.423832,2.013723
S1776,4.062325,3.376213,-0.230555,-2.93567,7.713918,2.124579
S1777,4.490841,3.92851,-0.261975,-4.12737,8.463538,2.402723
S1778,4.497548,4.001168,-0.083485,-4.366785,8.125986,2.381938
S1779,4.052403,3.488503,-0.010088,-3.357888,7.536772,2.137066
S1780,3.8091,3.149233,0.002123,-2.564742,7.017983,1.967228
S1781,3.671466,3.086653,-0.432882,-2.438508,6.943919,1.902068
S1782,4.290109,3.767455,-0.530553,-3.233747,6.955423,2.299381
S1783,4.762865,4.333716,-0.109152,-5.667121,7.415969,2.531987
S1784,5.215645,4.949335,0.101827,-9.285751,7.213663,2.758888
S1785,5.449364,5.213338,0.313843,-9.638278,7.978244,3.527553
S1786,4.673257,4.155025,-0.229731,-6.217791,8.088941,3035779306118496.0
S1787,4.560805,3.822697,-0.466425,-5.146673,7.666516,2877243216735831.5
S1788,4.938447,4.258323,-0.565817,-6.13165,7.502316,2796448376710826.5
S1789,4.943939,4.199192,-0.709354,-6.083223,8.175645,3068319314626124.0
S1790,5.06746,4.464113,-0.584896,-5.773021,7.804383,2928984697554722.0
S1791,5.094731,4.526429,-0.303529,-4.382407,7.698268,2889159891469841.5
S1792,5.30151,4.7663,0.133432,-4.223626,7.686969,2884919339590706.5
S1793,4.738403,4.086928,0.419476,-1.808704,7.796009,2925841935614755.5
S1794,4.125743,3.468641,0.425489,-1.215673,6.620028,2484496490481840.5
S1795,3.989617,3.458285,0.592601,-1.045691,6.667984,2502494375792689.0
S1796,3.455069,2.857594,0.802888,-0.237688,5.8988,1931885600845070.0
S1797,3.046744,2.622201,0.724195,0.264397,4.716314,1420486438328426.2
S1798,2.855119,2.526487,0.722853,0.370373,5.018556,0.827252
S1799,2.805753,2.293112,0.701718,0.258205,5.639649,0.385724
S1800,2.775536,2.422899,0.653442,0.01805,5.344705,0.335096
S1801,2.820682,2.588347,0.376976,-0.081389,5.019398,0.388352
S1802,2.85646,2.604938,0.153934,-0.027664,4.653227,0.432672
S1803,2.993481,2.64072,0.0688,-0.040389,4.426052,0.484869
S1804,3.050913,2.660374,0.139269,-0.080658,4.659082,0.509745
S1805,3.339642,2.846918,0.294712,-0.319873,5.175724,0.583207
S1806,3.060732,2.697133,-0.219422,-0.234955,4.315734,0.467273
S1807,3.32828,2.998977,-0.592975,-0.39238,5.192256,0.516961
S1808,3.757805,3.441798,-0.641659,-0.659205,5.248867,0.674851
S1809,4.967031,4.377728,0.4032,-1.773907,9.323928,3499269888869112.0
S1810,5.987924,5.550218,0.729059,-4.45863,9.578866,3594948112352660.5
S1811,6.094416,5.766837,0.626421,-6.808389,9.894246,3713310216559336.5
S1812,6.27718,5.980976,0.41814,-8.910796,9.971369,3742254476064478.0
S1813,5.501485,5.072007,-0.26903,-6.57566,9.190856,3449327971401325.5
