Segment,RMSE,MAE,Pearson's r,R²,Max Error,MAPE
S4769,9.749121,9.026545,-0.266922,-2.543944,19.11015,7172038701582857.0
S4770,9.13961,8.227315,0.330053,-3.737192,16.022049,6013074492175985.0
S4771,8.50851,7.527286,0.413408,-1.201061,16.171095,6069011451347741.0
S4772,6.799597,5.796461,0.728238,-0.196384,12.853884,4598395145327081.0
S4773,4.298653,3.352086,0.700158,0.367117,8.765296,0.438288
S4774,4.242921,3.302077,0.668824,0.365522,9.957456,0.359332
S4775,5.034813,3.702537,0.503426,0.106585,12.705398,0.315847
S4776,5.947458,4.602061,0.161912,-0.546427,14.82191,0.336947
S4777,6.568822,5.260904,0.010999,-0.972476,14.222568,0.372926
S4778,6.722379,5.083248,-0.156464,-1.036137,15.624959,0.346158
S4779,7.001563,5.095293,-0.495037,-1.383343,16.282448,0.327314
S4780,6.994682,4.864726,-0.707072,-1.317261,16.362861,0.300976
S4781,6.485113,4.434845,-0.472781,-0.893717,15.532294,0.279842
S4782,5.216253,3.207159,0.556905,-0.167103,13.46424,0.209393
S4783,2.712336,2.207783,0.856929,0.397686,5.971847,0.23166
S4784,3.238444,2.832888,0.840767,-0.575704,5.296275,0.383458
S4785,4.286102,4.040639,0.673109,-4.038909,6.357122,0.54859
S4786,5.023977,4.672632,0.419573,-5.223327,7.685564,0.745108
S4787,5.136809,4.49838,-0.260213,-3.809078,8.526082,0.861248
S4788,5.120149,4.184559,-0.800368,-3.444842,8.708091,0.872271
S4789,5.187544,4.392712,-0.864422,-3.856842,8.574535,0.931835
S4790,5.015544,4.392101,-0.808603,-4.242891,8.290082,0.907438
S4791,4.582968,4.082511,-0.356223,-4.497524,7.012787,0.830336
S4792,4.266188,3.921342,-0.096383,-5.015129,6.674669,0.789479
S4793,3.667383,3.225955,0.398168,-2.81672,6.629461,0.668893
S4794,2.989474,2.535001,0.553298,-0.704712,5.078208,0.527228
S4795,2.639864,2.129492,0.631502,0.189842,4.556273,0.403932
S4796,2.148584,1.78106,0.828243,0.457012,4.466432,0.314777
S4797,3.001256,2.15296,0.676241,0.292494,7.862842,2950924208319436.5
S4798,3.176492,2.221263,0.384651,0.142863,8.265525,3102051275835126.5
S4799,3.79265,2.87116,0.173095,-0.169922,8.191931,3074431449920401.5
S4800,4.140185,3.531507,0.112036,-0.468515,7.865642,2951975198352477.5
S4801,4.236977,3.762166,0.12868,-0.707047,6.679875,2506957030193445.5
