Segment,1D-CNN,ANN,LSTM,CNN-LSTM,GRU,Selected
S62,0.095180393579952,0.06093745004213138,0.04515199765177287,0.06780698259827096,0.7309231761278794,GRU
S63,0.04564132067502233,0.7189530578270728,0.01036231363115724,0.04773438761112672,0.17730892025561976,ANN
S64,0.03537388092241838,0.11459060027816495,0.006138003123553271,0.01933718362199984,0.8245603320538619,GRU
S65,0.07532100271017649,0.220998683957743,0.09300976861172618,0.5441623553279886,0.06650818939236575,CNN-LSTM
S66,0.18394514995230443,0.2700457746113522,0.2794641501394652,0.19806854681095495,0.06847637848591717,LSTM
S67,0.468488667913114,0.17816034899744637,0.21309022848092246,0.10810937001653735,0.032151384591977056,1D-CNN
S68,0.17014305869657448,0.17834823364187236,0.024632736049564702,0.024712492752724764,0.6021634788592622,GRU
S69,0.1779956115626106,0.510991940858352,0.05846847915859038,0.12721380387832346,0.12533016454211707,ANN
S70,0.29878355875945306,0.27965831594129636,0.09651979205771302,0.1411652121397573,0.18387312110177645,1D-CNN
S71,0.28592070297313027,0.21423157981840474,0.11094049661685129,0.24085186288583454,0.14805535770577902,1D-CNN
S72,0.1603782338075329,0.23715678294304654,0.14813266474404807,0.3685507477360942,0.08578157076927827,CNN-LSTM
S73,0.48279839761109594,0.06957496106659353,0.14390653191729563,0.23977110991793898,0.06394899948708117,1D-CNN
S74,0.25952238170747,0.36719394969787816,0.11059202111176526,0.11131150898625258,0.15138013849663967,ANN
S75,0.14880669843935526,0.18673449022122235,0.1726929836642074,0.09485766125171032,0.3969081664235031,GRU
S76,0.1882540079358943,0.12897822493382782,0.22792311666335743,0.1370398937389894,0.3178047567279227,GRU
S77,0.19717493883221326,0.15957526326544297,0.25765980966943824,0.17123739424005202,0.21435259399284953,LSTM
S78,0.9939589747470419,0.0025430214362569584,0.0005149574004329382,0.00038937107032134414,0.0025936753459458585,1D-CNN
S79,0.3094221336646773,0.13894340831188182,0.022901914941366838,0.05011674492833218,0.478615798153747,GRU
S80,0.0995503283341896,0.5365556624711432,0.0342255197963544,0.251931804377076,0.07773668502124106,ANN
S81,0.13765024928509118,0.154972322012985,0.19041334350099093,0.319734904125315,0.19722918107561688,CNN-LSTM
S82,0.1771183601585035,0.13805781848751822,0.19770666805859916,0.25432256513805307,0.23279458815732712,CNN-LSTM
S83,0.38713049380220266,0.13012207075517235,0.22616319759468775,0.1537446406682608,0.10283959717967636,1D-CNN
S84,0.3113111551687635,0.15051613051047114,0.1448493889336039,0.22543588017815222,0.1678874452090086,1D-CNN
S85,0.172555235932435,0.11129048078289722,0.23757179944693915,0.3474392109005054,0.13114327293722025,CNN-LSTM
S86,0.26268859794751,0.02732126615955747,0.40699386131498577,0.1161252700991278,0.18687100447881894,LSTM
S87,0.17498886035031688,0.2004850404938611,0.1850623564434464,0.19575226273068,0.2437114799817026,GRU
S88,0.16080437276705145,0.22388782854966593,0.14915178487082717,0.15398471409177622,0.3121712997206794,GRU
S89,0.12392425716786516,0.1494117635519148,0.25081379665571596,0.219510802855514,0.2563393797689899,GRU
S90,0.04456393711496804,0.05231944789509159,0.04842604635895674,0.040942560223813984,0.8137480084071749,GRU
S91,0.02957852644216936,0.08439112043512102,0.18913517410674274,0.6276669538457492,0.06922822517021858,CNN-LSTM
