Segment,1D-CNN,ANN,CNN-LSTM,GRU,Selected
S132,0.14792290293046864,0.3819632563418936,0.32556883477874754,0.14454500594889122,ANN
S133,0.26235651386803915,0.2748934147995276,0.260268158357636,0.20248191297479715,ANN
S134,0.38285723477621914,0.2538553756721417,0.20255505014246813,0.16073233940917,1D-CNN
S135,0.20035064598483332,0.24884449832787356,0.19593685106730416,0.35486800461998796,GRU
S136,0.40351945473846385,0.2097047345633427,0.2552495295472518,0.1315262811509447,1D-CNN
S137,0.10685291892093039,0.15115992948900264,0.144333416346073,0.5976537352439906,GRU
S138,0.14856079287626509,0.437170296896459,0.0972640254079124,0.31700488481936295,ANN
S139,0.1934110115448123,0.1959537874632714,0.13573618311625413,0.4748990178756658,GRU
S140,0.18468613183052798,0.1790663631647801,0.19972989682133724,0.4365176081833517,GRU
S141,0.17291897855664723,0.46065596873684855,0.20895308173638436,0.15747197097011997,ANN
S142,0.2781912303626622,0.21287905684165048,0.33402817889156766,0.17490153390411786,CNN-LSTM
S143,0.18417128134286057,0.3863920772777781,0.28172906495613725,0.14770757642322402,ANN
S144,0.40051950500719974,0.12466506246500964,0.11583157004577999,0.3589838624820107,1D-CNN
S145,0.3220733172998556,0.2647292183338541,0.27444583586953536,0.13875162849675587,1D-CNN
S146,0.2301616654909605,0.3280518527742778,0.32245249456228625,0.11933398717247613,ANN
S147,0.4130474957755364,0.05808398828513315,0.3833196392478758,0.14554887669145386,1D-CNN
S148,0.2328266524580015,0.25422529582611125,0.3397342571762938,0.1732137945395931,CNN-LSTM
S149,0.09163004015002295,0.1325200307063658,0.10037808680915206,0.6754718423344592,GRU
S150,0.18696783718894866,0.18337506470997106,0.17183340594716576,0.45782369215391416,GRU
S151,0.2565235172458248,0.18969279752296966,0.1799330298005652,0.37385065543063656,GRU
S152,0.10707745664678847,0.5986088046329168,0.1977539869975001,0.09655975172279518,ANN
S153,0.18004306557850103,0.286857149486857,0.42536830549105026,0.10773147944359536,CNN-LSTM
S154,0.12396782969574036,0.12424229956325965,0.6946826278481656,0.057107242892833955,CNN-LSTM
S155,0.24683773236676101,0.1674940275701165,0.20826241140360077,0.3774058286595211,GRU
S156,0.28160264032315424,0.17390252680415516,0.31754582558875316,0.22694900728393713,CNN-LSTM
S157,0.2835848873409102,0.2110784221572717,0.2802337199198582,0.22510297058195936,1D-CNN
S158,0.18074579541673738,0.4371176126748845,0.14174027339258055,0.24039631851579685,ANN
S159,0.09734621728050565,0.6066880289653384,0.15069113351366273,0.14527462024048907,ANN
S160,0.08401840663581386,0.1234425618353781,0.6934461777677902,0.09909285376102107,CNN-LSTM
S161,0.2363899898641935,0.2829949410062889,0.2879640723479904,0.1926509967815257,CNN-LSTM
S162,0.5402744763186157,0.16576903362547032,0.1704887314854095,0.12346775857050825,1D-CNN
S163,0.3878461645724424,0.13098091175172397,0.18235550355999877,0.29881742011583107,1D-CNN
S164,0.2281746482547958,0.2513233494723608,0.36849172055177315,0.15201028172106987,CNN-LSTM
S165,0.03554157409144232,0.9118526492526854,0.0234445996428501,0.029161177013022288,ANN
S166,0.272159470757382,0.1848282390989496,0.14982065882374232,0.393191631319926,GRU
S167,0.3143160347669349,0.16298873135310799,0.3262723911760561,0.1964228427039011,CNN-LSTM
S168,0.48457633879559114,0.15563018466307665,0.27732718657644256,0.0824662899648893,1D-CNN
S169,0.21715967884119902,0.1796681755338238,0.533012259325988,0.07015988629899252,CNN-LSTM
S170,0.40040884383533065,0.23997984987899423,0.21854447760960263,0.1410668286760724,1D-CNN
S171,0.6531647809799312,0.11227814450375861,0.15856758399878873,0.07598949051752404,1D-CNN
S172,0.043518660324359394,0.0596648499591474,0.09182948331155225,0.8049870064049419,GRU
S173,0.04076011455165895,0.5233276030815891,0.06354823203373983,0.3723640503330153,ANN
S174,0.06445467351176488,0.16364473097454976,0.011791123730499975,0.7601094717831888,GRU
S175,0.05525620827770688,0.563634874760402,0.11440665987536333,0.2667022570865281,ANN
S176,0.043575225023374686,0.605103963720841,0.17652809637662908,0.1747927148791561,ANN
S177,0.074195692661278,0.11349604595796832,0.6847578794673481,0.12755038191340554,CNN-LSTM
S178,0.24795549840680597,0.33584046811195684,0.12415462763477397,0.2920494058464634,ANN
S179,0.5441174626038138,0.11314372550063698,0.15907111842793048,0.1836676934676166,1D-CNN
S180,0.2973660712957983,0.1764352080253118,0.0960124100700981,0.43018631060878876,GRU
S181,0.22679843313765363,0.20983316181860645,0.2967431534871263,0.26662525155661,CNN-LSTM
S182,0.1397204221833391,0.11031681762532244,0.15251300332065185,0.597449756870686,GRU
S183,0.07938956074713889,0.0630376318027109,0.09343113787472324,0.764141669575425,GRU
S184,0.20172729328701042,0.17267861220566635,0.21325447481972487,0.4123396196875976,GRU
S185,0.26332687123852344,0.08406349010803911,0.15822863060332634,0.4943810080501104,GRU
S186,0.2064742838725028,0.1786700530521039,0.4035644979083169,0.21129116516707577,CNN-LSTM
S187,0.19035499907400058,0.35596651881199776,0.32820341269299474,0.12547506942100337,ANN
S188,0.2994266668638345,0.2305045478856799,0.35129674101077685,0.11877204423970793,CNN-LSTM
S189,0.20378098682353132,0.1806699884648576,0.47104614901074154,0.14450287570086906,CNN-LSTM
S190,0.23833302924104258,0.24050956286108197,0.2790471591523099,0.24211024874556564,CNN-LSTM
S191,0.302953058994096,0.20760532784746186,0.23802428127909483,0.25141733187934917,1D-CNN
