Segment,1D-CNN,ANN,BiLSTM,LSTM,Selected
S30,0.20396075468830993,0.5262089143562662,0.1268505852637792,0.14297974569164482,ANN
S31,0.49057804641725083,0.24712121980837704,0.10814084343225391,0.15415989034211805,1D-CNN
S32,0.42757050702011545,0.3381015962958691,0.10297045027525625,0.13135744640875896,1D-CNN
S33,0.3473685366733098,0.2757067652575913,0.17831452365138828,0.1986101744177104,1D-CNN
S34,0.5042258573577557,0.1756781077350555,0.22469425036036686,0.09540178454682212,1D-CNN
S35,0.20825663384843315,0.37345672400313773,0.3349973946352005,0.08328924751322841,ANN
S36,0.28355993871207824,0.23229734981930583,0.3352134435421484,0.14892926792646735,BiLSTM
S37,0.5224315325369121,0.18808764373642767,0.18464839266109537,0.10483243106556477,1D-CNN
S38,0.42769958858925006,0.29377710482636066,0.17106707327900028,0.10745623330538893,1D-CNN
S39,0.2904758369179036,0.23687866505568328,0.3668273878722371,0.10581811015417608,BiLSTM
S40,0.13811625933242686,0.12629566115830695,0.6853215152124863,0.050266564296779705,BiLSTM
S41,0.10833988420861361,0.11655076509843504,0.7367552915098758,0.03835405918307519,BiLSTM
S42,0.1734464026878092,0.5206974205089028,0.28517163049992617,0.020684546303362153,ANN
S43,0.36801355171188954,0.44868434242524596,0.1667709575763824,0.016531148286482146,ANN
S44,0.30974425555876983,0.3094240849332275,0.22479073049246773,0.1560409290155351,1D-CNN
S45,0.4172629354418293,0.20957169046799304,0.1887048865767702,0.18446048751340782,1D-CNN
S46,0.358582796785826,0.33953853140519275,0.19012424404209588,0.11175442776688523,1D-CNN
S47,0.2713648243688595,0.358601072308531,0.2920966574804745,0.07793744584213495,ANN
S48,0.2638510617048804,0.22525592677475673,0.40624259194308976,0.10465041957727289,BiLSTM
S49,0.2912857214025915,0.2782115375384953,0.3325760896800198,0.09792665137889325,BiLSTM
S50,0.4617930359974029,0.20461308493061198,0.26289797436196916,0.0706959047100162,1D-CNN
S51,0.21378784803972248,0.21444568058639943,0.3507220543430672,0.2210444170308108,BiLSTM
S52,0.25888811220650043,0.33520554747001535,0.315827972930908,0.09007836739257608,ANN
S53,0.14552013872052985,0.17932612086098437,0.5990600717707566,0.0760936686477294,BiLSTM
S54,0.26376042313709314,0.3011274892642984,0.32426940761965956,0.11084267997894902,BiLSTM
S55,0.295628737098533,0.28384268366954746,0.2164238368476959,0.20410474238422363,1D-CNN
S56,0.45152573277212327,0.2134451751332702,0.15887610054996373,0.1761529915446429,1D-CNN
S57,0.7543149630189071,0.08851611717442633,0.08800994252097602,0.06915897728569045,1D-CNN
S58,0.6290521202438742,0.12926568385490317,0.15719630438873985,0.08448589151248262,1D-CNN
S59,0.28072534244921565,0.1298670311822673,0.49417485356768964,0.09523277280082734,BiLSTM
S60,0.3075774388085635,0.3721679611468212,0.21980701340762485,0.10044758663699023,ANN
S61,0.3432330852609977,0.2404029385172348,0.346639173336972,0.0697248028847954,BiLSTM
S62,0.12709628005245713,0.11213999790863192,0.7255496848417725,0.03521403719713835,BiLSTM
S63,0.07490962067488023,0.5457453541750067,0.36882809232016456,0.01051693282994817,ANN
S64,0.10647421933723812,0.2803763551012478,0.6028322186009686,0.01031720696054556,BiLSTM
S65,0.21807858140566408,0.5019659819967189,0.2285684712531913,0.0513869653444254,ANN
S66,0.30228221340739586,0.37183264753925155,0.2277333392663161,0.09815179978703652,ANN
S67,0.4436365936064728,0.2596242111331932,0.1755920638516893,0.12114713140864476,1D-CNN
S68,0.30423151302158563,0.38972211754019526,0.2476876529160968,0.058358716522122586,ANN
S69,0.19049794767691905,0.3377184384915281,0.4236937352171539,0.04808987861439906,BiLSTM
S70,0.2956246243637927,0.28753038413174065,0.3374727135789923,0.0793722779254746,BiLSTM
S71,0.31083884634167647,0.28244063359660415,0.3227984032403131,0.0839221168214061,BiLSTM
S72,0.3040607967363909,0.33424253630562756,0.26442605479839487,0.09727061215958704,ANN
S73,0.5827521969461963,0.18036380755410425,0.1429712415333625,0.09391275396633705,1D-CNN
S74,0.3425002908458384,0.45620423562067086,0.1378141788395814,0.06348129469390967,ANN
S75,0.2998594605970384,0.3321676400169495,0.2672309242646816,0.10074197512133046,ANN
S76,0.26314226534903024,0.22776103780515158,0.416299931933157,0.09279676491266112,BiLSTM
S77,0.27662994848121886,0.26015704950378743,0.3632624024933456,0.09995059952164798,BiLSTM
S78,0.9821762952040578,0.008831403781055167,0.007310209762275162,0.0016820912526118678,1D-CNN
S79,0.40638047459562576,0.14003990352893628,0.428230340637138,0.025349281238300075,BiLSTM
S80,0.1679346050901583,0.40723722460399286,0.3863884365117428,0.03843973379410579,ANN
S81,0.3003308844686931,0.2943909320788205,0.2809134924684417,0.12436469098404478,1D-CNN
S82,0.3253832040143411,0.2643572285847758,0.2928370133512412,0.11742255404964204,1D-CNN
S83,0.4160153983834749,0.22107933504793978,0.2732977639406648,0.08960750262792049,1D-CNN
S84,0.3787578670362468,0.27847065551233685,0.2641814197335161,0.07859005771790037,1D-CNN
