Segment,1D-CNN,ANN,BiLSTM,LSTM,Selected
S25,0.2762685296856797,0.2953957323002252,0.38559276301634876,0.042742974997745896,BiLSTM
S26,0.27970505001523516,0.23082007961310533,0.44148806676300606,0.04798680360865365,BiLSTM
S27,0.2166266510286798,0.31442825822586096,0.4422047702610272,0.02674032048443155,BiLSTM
S28,0.28630054465211474,0.4133725835005227,0.26426104416324026,0.03606582768412261,ANN
S29,0.4995120035489762,0.28750384413077523,0.1671061624580066,0.045877989862242,1D-CNN
S30,0.19302506122540797,0.583400545519468,0.12727101282823572,0.09630338042688817,ANN
S31,0.6864515481091855,0.21453770009442621,0.05238231272756368,0.046628439068823926,1D-CNN
S32,0.5146687827453992,0.3582984780524078,0.0706534473731259,0.056379291829066716,1D-CNN
S33,0.37183379965206664,0.30427581493290734,0.20709749652069537,0.1167928888943302,1D-CNN
S34,0.563861294547542,0.16075843676460566,0.22697240776032115,0.048407860927531604,1D-CNN
S35,0.18179046522061823,0.3436024492250783,0.4312112323276917,0.0433958532266111,BiLSTM
S36,0.28547785306786777,0.243760913354492,0.3969183820241241,0.07384285155351596,BiLSTM
S37,0.5232224625251051,0.19190271388033525,0.23479317509060982,0.05008164850394963,1D-CNN
S38,0.4162450841595353,0.31505008171683396,0.2189121033146285,0.049792730809002164,1D-CNN
S39,0.30717038874212144,0.2499303869992368,0.39734805520882915,0.04555116904981248,BiLSTM
S40,0.13714209951221817,0.11642094575761633,0.7237728168500763,0.022664137880089086,BiLSTM
S41,0.10780022174241366,0.11967256275868027,0.7550805505825767,0.01744666491632858,BiLSTM
S42,0.18012657272610208,0.5272992131642004,0.28250793152653414,0.010066282583164235,ANN
S43,0.3549241621211173,0.4593318028712431,0.1756459885183709,0.010098046489268701,ANN
S44,0.3475659646570021,0.34785455744949667,0.23344267981006406,0.07113679808343729,ANN
S45,0.43982939695963014,0.2507051324135746,0.2295873179887363,0.07987815263805964,1D-CNN
S46,0.3745099906443988,0.3518098112325373,0.22195371462850907,0.051726483494554595,1D-CNN
S47,0.27902301951426495,0.3665736090743203,0.3174164772794639,0.03698689413195074,ANN
S48,0.27700530205142027,0.23004719831970782,0.4429574538498278,0.04999004577904384,BiLSTM
S49,0.30431655597809987,0.2794344919037724,0.36907051596628876,0.047178436151838934,BiLSTM
S50,0.4421460757335611,0.22556218027647806,0.2986476010971691,0.03364414289279238,1D-CNN
S51,0.18974054090995698,0.21072038575139565,0.42722451310122,0.17231456023742717,BiLSTM
S52,0.25778127478187296,0.3868108888212681,0.3058295076595019,0.04957832873735645,ANN
S53,0.12198814967828078,0.2188876017323351,0.6196015875888766,0.03952266100050812,BiLSTM
S54,0.2774597396798119,0.3033727533062762,0.3614145642184445,0.0577529427954675,BiLSTM
S55,0.29412251247039667,0.33069038136819273,0.2619801479468045,0.11320695821460597,ANN
S56,0.5713422700225613,0.21783194990807572,0.14699008752652384,0.06383569254283927,1D-CNN
S57,0.772021108040117,0.08898404106773983,0.10615872034724794,0.03283613054489516,1D-CNN
S58,0.7098223018517852,0.09562930896813901,0.159915187029377,0.03463320215069846,1D-CNN
S59,0.2676028754410311,0.13569178155267367,0.5499560184185837,0.046749324587711645,BiLSTM
S60,0.3078924687273985,0.4509946409328696,0.2062088750789628,0.03490401526076852,ANN
S61,0.458956519026647,0.236172431766222,0.285673343103162,0.019197706103968676,1D-CNN
S62,0.12204428510364904,0.09247689377842151,0.7744169196950222,0.01106190142290724,BiLSTM
