Segment,1D-CNN,ANN,CNN-LSTM,GRU,Selected
S219,0.13300547366966395,0.4222611506110849,0.10587993676527145,0.33885343895397996,ANN
S220,0.12280043481684925,0.11269188789551866,0.015753524085331264,0.7487541532023009,GRU
S221,0.5865286014835172,0.1413521678308489,0.24391436183045845,0.028204868855175275,1D-CNN
S222,0.14351895713702925,0.48082660789155734,0.18198107496953386,0.19367336000187943,ANN
S223,0.12472020131165532,0.18791774365976477,0.2217641964261998,0.4655978586023799,GRU
S224,0.12324773279073604,0.21383004892834817,0.22982990641060955,0.4330923118703065,GRU
S225,0.40384961823802057,0.12527058862493737,0.2953612062869648,0.17551858685007735,1D-CNN
S226,0.1580883540665897,0.2072278677116745,0.34938526283521787,0.2852985153865176,CNN-LSTM
S227,0.11391063930170825,0.3875126115852807,0.24435140316022982,0.25422534595278073,ANN
S228,0.05019614726851124,0.0431651014554885,0.08919102717736026,0.8174477240986405,GRU
S229,0.14568816135075707,0.3234525022068276,0.19621413042539468,0.3346452060170196,GRU
S230,0.1796883012130516,0.36751121709631523,0.1287964757956547,0.32400400589497835,ANN
S231,0.1799583549540538,0.26262681482234945,0.18428514808967847,0.3731296821339183,GRU
S232,0.3310056854347201,0.17308128150721852,0.3002634468856219,0.19564958617243927,1D-CNN
S233,0.2577220650700079,0.2574969714808254,0.31142614525315215,0.1733548181960144,CNN-LSTM
S234,0.3069650891875893,0.24958336534921846,0.2582650556824497,0.1851864897807415,1D-CNN
S235,0.18407772914651976,0.08940210357153576,0.30324256338548455,0.42327760389645996,GRU
S236,0.11910388105053898,0.5872247300272656,0.1534789067866101,0.14019248213558552,ANN
S237,0.2212047354412549,0.316763173689863,0.1831099760604746,0.2789221148084077,ANN
S238,0.3549083597081969,0.1430293718661717,0.21968183518810216,0.2823804332375294,1D-CNN
S239,0.14926461793329607,0.40848975101784274,0.14977502440666335,0.292470606642198,ANN
S240,0.4986179203979929,0.16824326255359331,0.07998061030173245,0.2531582067466804,1D-CNN
S241,0.310116659438765,0.2862737695686893,0.27724173335808217,0.12636783763446371,1D-CNN
S242,0.23711051465467223,0.45355916578660604,0.2436735683874144,0.0656567511713073,ANN
S243,0.01201856651770259,0.0458105551027419,0.22562654347291555,0.7165443349066402,GRU
S244,0.0030325867868010946,0.3198256916880035,0.010503903707107676,0.6666378178180875,GRU
S245,0.4028613228245724,0.19885852025581335,0.2345992581941243,0.16368089872548963,1D-CNN
S246,0.3283729729974279,0.3176802632521809,0.21583858488513014,0.13810817886526086,1D-CNN
S247,0.29921261190099063,0.23899305978536126,0.2745816562431185,0.1872126720705298,1D-CNN
S248,0.22995026897914525,0.567877267946925,0.09064591549340863,0.11152654758052136,ANN
S249,0.1544949443307054,0.23688093995647555,0.31182266436785344,0.29680145134496566,CNN-LSTM
S250,0.23983756438799614,0.25968231411373416,0.25409891583941346,0.2463812056588579,ANN
S251,0.24901447946096064,0.42186579735617324,0.12753827706287416,0.2015814461199913,ANN
S252,0.2796203828948021,0.17421128602912975,0.29770977380217517,0.24845855727389207,CNN-LSTM
S253,0.1765312846463995,0.22169785031566516,0.456479336347177,0.14529152869075865,CNN-LSTM
S254,0.02348142301611934,0.9568711980177432,0.010737928393294769,0.008909450572842715,ANN
S255,0.06779139255314803,0.12510590866658586,0.4264572848462425,0.3806454139340237,CNN-LSTM
S256,0.2108972327465442,0.4187566899192328,0.13984721884008042,0.23049885849414276,ANN
S257,0.21403816096806394,0.2279087802212306,0.21274517781724184,0.3453078809934638,GRU
S258,0.3065144002455897,0.18364448302469688,0.2636485550820487,0.24619256164766387,1D-CNN
S259,0.2594643171431986,0.2948035817586355,0.2790855127226907,0.16664658837547483,ANN
S260,0.25395491501437667,0.3291524036621172,0.25310128252199104,0.16379139880151497,ANN
S261,0.22261894026755777,0.10215052586591258,0.30206226074941,0.3731682731171197,GRU
S262,0.22043601820932382,0.18447043670044372,0.3116667820379145,0.28342676305231956,CNN-LSTM
S263,0.09800074702083815,0.06860125930715479,0.5477983435826089,0.2855996500893988,CNN-LSTM
S264,0.08579896901710175,0.25073820484786474,0.44969462304379193,0.21376820309124067,CNN-LSTM
S265,0.3949731573928822,0.2084537187857195,0.19502289619816343,0.20155022762323493,1D-CNN
S266,0.20604848937672057,0.22139579835343612,0.3624546131520224,0.21010109911782043,CNN-LSTM
S267,0.1535483331100975,0.3543878414670692,0.2743396758104555,0.217724149612377,ANN
S268,0.12456748235454253,0.07322975700899578,0.41986924006916265,0.38233352056729875,CNN-LSTM
S269,0.2881370891292001,0.2156547646626352,0.22912730701291958,0.2670808391952449,1D-CNN
S270,0.14933992430155024,0.12204830031189387,0.4731383657450589,0.2554734096414962,CNN-LSTM
S271,0.12649193846565296,0.4090128802516699,0.28505796581639686,0.17943721546627986,ANN
S272,0.18041821821110346,0.09603697290968535,0.38034659280204536,0.34319821607716583,CNN-LSTM
S273,0.2439341631758294,0.2152056264694224,0.27577884550463233,0.26508136485011613,CNN-LSTM
S274,0.41079963694324706,0.3245096229060991,0.10513442916323365,0.15955631098742032,1D-CNN
S275,0.3647634072257031,0.2641563152090536,0.13761931931441068,0.23346095825083255,1D-CNN
S276,0.2085056964135227,0.2857011605771994,0.296901023554865,0.2088921194544119,CNN-LSTM
S277,0.25550157819824676,0.32870861994613493,0.22163490775893635,0.194154894096682,ANN
S278,0.27475957154101166,0.29212149650988267,0.22509474181043138,0.208024190138674,ANN
S279,0.10788154861767542,0.02337696121457809,0.4792553136402435,0.389486176527503,CNN-LSTM
