Segment,LSTM,1D-CNN,ANN,BiLSTM,Selected
S36,0.2940643298281518,0.35166917214503157,0.3102117197263512,0.044054778300465426,1D-CNN
S37,0.29275034456291593,0.3472216565995181,0.31952734293785834,0.040500655899707964,1D-CNN
S38,0.32258425019989256,0.30280507258590234,0.33258692370426296,0.04202375350994243,ANN
S39,0.3259859400921531,0.3121509156007633,0.31590048808752114,0.04596265621956231,LSTM
S40,0.3261416010546773,0.32334760549792413,0.30207615531602006,0.04843463813137875,LSTM
S41,0.32546417963427343,0.3144177485124838,0.31357603738945355,0.0465420344637895,LSTM
S42,0.31421845273477994,0.3210125196937671,0.31928238745627324,0.04548664011517902,1D-CNN
S43,0.3369274895703378,0.2986373032314275,0.3185582889427059,0.04587691825552939,LSTM
S44,0.3175791713312563,0.32179349990355455,0.31956078791056874,0.04106654085462079,1D-CNN
S45,0.303469858354756,0.3422767547088413,0.3161361666350288,0.038117220301374086,1D-CNN
S46,0.30246486515924625,0.3206756980684604,0.3354156453812529,0.041443791391040825,ANN
S47,0.3065408168856771,0.3138145624111621,0.3348474688085919,0.0447971518945691,ANN
S48,0.3409249757667109,0.3192138314689387,0.2900815646492243,0.04977962811512654,LSTM
S49,0.34785419763036557,0.3071982548013285,0.29503981559365927,0.04990773197464655,LSTM
S50,0.36164446328819566,0.2448333387001986,0.34252193442277334,0.051000263588832855,LSTM
S51,0.7585258437523608,0.07289123528181847,0.1284404526153953,0.040142468350425585,LSTM
S52,0.3686778705074485,0.30143013551321934,0.294048891545736,0.03584310243359704,LSTM
S53,0.35193543605486893,0.25855245954411815,0.33804262338330116,0.05146948101771193,LSTM
S54,0.2414858218879147,0.5559124923193844,0.16732371815502128,0.035277967637680145,1D-CNN
S55,0.33997215506377243,0.34979375073661756,0.27017725679926574,0.040056837400343784,1D-CNN
S56,0.29262522524972023,0.4359957655027053,0.23716245291326385,0.03421655633430998,1D-CNN
S57,0.40118686513787916,0.33661645079488955,0.20984292886249156,0.052353755204739505,LSTM
S58,0.3522034530415695,0.39743560539067574,0.20010238296915758,0.05025855859859651,1D-CNN
S59,0.3791096451994319,0.27501746375905595,0.29062657974170764,0.05524631129980363,LSTM
S60,0.3143953334052621,0.26273707690043335,0.3754889309302063,0.047378658764097525,ANN
S61,0.4380840069565912,0.1755223664509608,0.32068195412473627,0.06571167246771197,LSTM
S62,0.39240613454457,0.18317583332778406,0.36365800068117615,0.06076003144646969,LSTM
S63,0.23625195637980229,0.3037630729704064,0.4171535273202689,0.042831443329522566,ANN
S64,0.2732133303589384,0.33047064236014145,0.35461762150435455,0.041698405776565924,ANN
S65,0.4032940748523336,0.23406851446327095,0.31764446808528074,0.044992942599114495,LSTM
S66,0.3707934506755491,0.26922985406886524,0.3240778998963207,0.035898795359265094,LSTM
S67,0.274998557678008,0.3647881451997047,0.3279815746013805,0.03223172252090623,1D-CNN
S68,0.23132827398441588,0.40570730260002275,0.3335066194363442,0.029457803979217795,1D-CNN
S69,0.25139353714639223,0.34597382299430907,0.36758911047733744,0.035043529381961584,ANN
S70,0.28963278162281575,0.3260457611059281,0.3382260863644883,0.04609537090676677,ANN
S71,0.2713363710674031,0.36374779041327626,0.3223554633170165,0.042560375202303866,1D-CNN
S72,0.28218088989435425,0.33885358442639185,0.3378106253921288,0.04115490028712509,1D-CNN
S73,0.2883529292028418,0.3734663260750559,0.301277570636754,0.03690317408534762,1D-CNN
S74,0.303074024082508,0.31454649086937764,0.3413057829500555,0.04107370209805927,ANN
S75,0.3244839463119031,0.3098294229532877,0.3178533578849008,0.04783327284990898,LSTM
S76,0.319642750321726,0.3442948940439747,0.28427747910879064,0.05178487652550896,1D-CNN
S77,0.34311270728210713,0.32965914243717775,0.27375043624451423,0.053477714036200996,LSTM
S78,0.17481759460547447,0.49128475709841973,0.2993484050993154,0.03454924319679019,1D-CNN
S79,0.2283351057033925,0.33843464575106125,0.38448751722971103,0.048742731315834856,ANN
S80,0.2697822809885225,0.37073812565241754,0.3098164804320649,0.04966311292699478,1D-CNN
S81,0.3111586476961262,0.3343632949376927,0.3063955468212751,0.04808251054490622,1D-CNN
S82,0.30812912495428246,0.3483682007677241,0.30030417228052797,0.043198501997465284,1D-CNN
S83,0.3030585006003323,0.34799704254535624,0.3038995116828886,0.04504494517142338,1D-CNN
S84,0.30844135592499716,0.3493653376674465,0.29473993533449094,0.04745337107306532,1D-CNN
S85,0.3574218292067786,0.30066343415329877,0.28900628930772154,0.05290844733220082,LSTM
S86,0.33172633080578984,0.3261449032516006,0.29270483035027656,0.04942393559233373,LSTM
