Segment,1D-CNN,ANN,BiLSTM,LSTM,CNN-LSTM,GRU,Selected
S59,0.17562351083803426,0.19776322668415025,0.20817925541286747,0.21901332534576895,0.16877235145327515,0.0306483302659031,LSTM
S60,0.16631743507760607,0.2602695508489127,0.19361750335429292,0.19763569046519255,0.15285763213048092,0.029302188123514115,ANN
S61,0.13412737126750318,0.1815926918732716,0.21449992277023539,0.21254335818427758,0.19581790063492047,0.061418755269792,BiLSTM
S62,0.12692819446527018,0.18695671610148762,0.22679988804004328,0.18146558670963767,0.22629120263668712,0.05155841204687337,BiLSTM
S63,0.18880137838661395,0.3150763567240841,0.20278881091489806,0.1217334055343901,0.14329301751165566,0.028307030928358262,ANN
S64,0.19351244088593691,0.21315280542948195,0.3473691344182574,0.10712191285008518,0.11902497804620225,0.019818728370037408,BiLSTM
S65,0.16280055283389325,0.2569751278911495,0.21112498531014634,0.1559841760957481,0.1918902023795935,0.021224955489470145,ANN
S66,0.17922613815820157,0.2101949857241533,0.19148410630107687,0.22923481746264596,0.1671367957140215,0.02272315663989843,LSTM
S67,0.2441002542005754,0.18672393464589201,0.17885284106853458,0.2012655240589409,0.16400219144789793,0.025055254578160047,1D-CNN
S68,0.3210864483189937,0.17595219571962287,0.12636446436467255,0.1333118957806055,0.22363169858048054,0.01965329723562543,1D-CNN
S69,0.18368550264734304,0.2202218569595642,0.1258033123209622,0.1352151118693525,0.3119612400197205,0.023112976183058517,CNN-LSTM
S70,0.16512409392544647,0.18856174601186637,0.21572902920601716,0.1576977341787574,0.24497419238552307,0.027913204292389467,CNN-LSTM
S71,0.23431165668738677,0.18832317937281562,0.19581725749294868,0.14141908783521823,0.21439279321838844,0.025736025393243184,1D-CNN
S72,0.2259562005834395,0.19259860353998623,0.1561628344109099,0.14606406156002855,0.2556957673770471,0.02352253252858822,CNN-LSTM
S73,0.2493140547546897,0.16576284574611463,0.13257270740328223,0.1789743714395674,0.2454783600060361,0.02789766065031052,1D-CNN
S74,0.19215936025919672,0.2341388245233461,0.1602350999346775,0.19401129088787689,0.1886382003296624,0.03081722406524095,ANN
S75,0.18948749683080776,0.20642493115296592,0.20019053043679874,0.21805697548613026,0.15412654288837485,0.031713523204921754,LSTM
S76,0.20614689300148553,0.18810879331741812,0.22664066660833582,0.19254530251536073,0.1575958947482002,0.028962449809200302,BiLSTM
S77,0.20350155331935432,0.17876470649837267,0.21265994385605447,0.2006466603434461,0.17680878442432163,0.027618351558450938,BiLSTM
S78,0.29334754664262647,0.2464910314026522,0.1632782018688235,0.15056974306286364,0.1124401272987636,0.03387334972427099,1D-CNN
S79,0.18315683771094504,0.24975598298900142,0.2112734456533545,0.20236766178994098,0.1250472880667955,0.02839878378996199,ANN
S80,0.1995455116077297,0.18221387111109602,0.20392359048248304,0.19369872699736798,0.19376254488590214,0.026855754915420908,BiLSTM
S81,0.2783843605759429,0.1338762314813097,0.13328524567791386,0.24064488973465042,0.19279247340250533,0.021016799127678013,1D-CNN
S82,0.28994845452988305,0.14205477872038944,0.1332819398944531,0.22865681483399058,0.18440327261994585,0.021654739401337064,1D-CNN
S83,0.24908634827211337,0.18754567691872903,0.18674637181239614,0.16981736490381383,0.1845906199237744,0.02221361816917387,1D-CNN
S84,0.24259694645010457,0.20383227626313058,0.19540456996234773,0.14708587874072498,0.1872527081577223,0.023827620425968622,1D-CNN
S85,0.19931658276704173,0.21949642389149776,0.19499719893670034,0.2184746141271949,0.14438353390817765,0.023331646369387234,ANN
S86,0.28114715164396353,0.15552166289712785,0.20191232422138408,0.20330588442775568,0.12977823590932788,0.028334740900440646,1D-CNN
S87,0.21236899106007381,0.22982191452915285,0.21482847039911324,0.17615309497470383,0.13472175387140434,0.032105775165553546,ANN
S88,0.15592189741785337,0.20519395236207197,0.2786118685598958,0.18271750296786457,0.14251720358891778,0.035037575103397084,BiLSTM
S89,0.1381873358621553,0.14565698336074162,0.34126048242054435,0.19656316097057483,0.15375877668719998,0.02457326069878333,BiLSTM
S90,0.1488738127080377,0.21481893891005233,0.2748479162729815,0.1721070175598099,0.16068830192249625,0.028664012626621594,BiLSTM
S91,0.12193639434095736,0.1737601423537374,0.19369283191692027,0.2556691424861127,0.23105357495950354,0.023887913942768978,LSTM
S92,0.1958706586628789,0.1731645720414673,0.1784680335864986,0.22703610672795982,0.20315963621958516,0.022300992761610697,LSTM
S93,0.32580332780008026,0.23623526339519485,0.12435841571297888,0.13030067351098976,0.16689605279404215,0.016406266786714332,1D-CNN
S94,0.29101204340471076,0.1768742618808659,0.1432774899448473,0.15033169491447332,0.21772139070111599,0.02078311915398641,1D-CNN
S95,0.264981123185723,0.18395915265598847,0.14820655407271577,0.17262244139046037,0.20097267883789177,0.029258049857220022,1D-CNN
S96,0.26013722969310193,0.22771662876927062,0.13766917377660962,0.17803534680035413,0.16828733799926685,0.028154282961398432,1D-CNN
S97,0.19880628976113685,0.2147607396230427,0.16350372959191534,0.21036055945361354,0.18132418462339053,0.031244496946899812,ANN
S98,0.19678799110173728,0.18810135529208213,0.18708879763174718,0.2266733707073105,0.17251922147631743,0.028829263790806334,LSTM
S99,0.1816441734463342,0.20318987902743788,0.20664047900616983,0.20520690246707599,0.17448295866050653,0.028835607392476502,BiLSTM
S100,0.16353570340598253,0.3091233248618376,0.18341819753872898,0.16852626374039595,0.15194001481359282,0.02345649563946211,ANN
S101,0.13863549969924197,0.19534748128604792,0.22835704503545112,0.18975445440686425,0.20406183708220602,0.04384368249018837,BiLSTM
S102,0.09766013327061557,0.13922636620241263,0.26307272137278764,0.17138293994162057,0.3005858393460639,0.028071999866500545,CNN-LSTM
S103,0.1197001061658177,0.16600620289152943,0.19370676326011377,0.21976628596324385,0.2839082038172312,0.01691243790206291,CNN-LSTM
S104,0.17644425585249043,0.20620553682951176,0.16824722371216352,0.2503850598864987,0.1799959637424736,0.01872195997686184,LSTM
S105,0.2919667399225895,0.28028209611858196,0.12667789754729128,0.15758693950584285,0.11984191265010567,0.023644414255589583,1D-CNN
S106,0.3941754699142836,0.2251297039702989,0.1106165032906909,0.11043091928458312,0.13407776035047023,0.02556964318967315,1D-CNN
S107,0.19399357648858853,0.3163396618828966,0.15653670317428844,0.13607288150126817,0.16579533715190564,0.03126183980105235,ANN
S108,0.22756441285032458,0.24916848985743922,0.18329287431389543,0.1437033283519884,0.16975674102319957,0.026514153603152842,ANN
S109,0.2375229904019986,0.24574858357375215,0.17950930661511827,0.14709903171407185,0.16463039857416129,0.025489689120898995,ANN
S110,0.1576356901858992,0.16640487037565993,0.17401434354321962,0.19491890058127354,0.2813487302530554,0.025677465060893353,CNN-LSTM
S111,0.13346986376566136,0.2031656924904235,0.14376228278238376,0.17189932976712116,0.3268088309320533,0.02089400026235509,CNN-LSTM
S112,0.1256606720441378,0.11643074652847579,0.1309651908708947,0.21422628036873667,0.3874212500652076,0.025295860122546848,CNN-LSTM
S113,0.13268694784319754,0.15092230235054513,0.13642472610971146,0.19125969796123563,0.3598348779118371,0.02887144782347314,CNN-LSTM
S114,0.12297674882545255,0.19021611314170664,0.14333855588774622,0.2040206212131709,0.3139122872964276,0.025535673635497014,CNN-LSTM
S115,0.19822103506923855,0.19538337735251723,0.18445005939492642,0.21703504094273396,0.1834376395390977,0.021472847701485612,LSTM
S116,0.23161245331290412,0.27651652029987556,0.1633271919432981,0.16209730149354012,0.15054345862815574,0.01590307432222714,ANN
S117,0.18620791910892143,0.2388698367494261,0.1364413521221013,0.2362836957699567,0.1855941752812338,0.016603020968358476,ANN
S118,0.15376018775257008,0.21183620791108934,0.1543078275909941,0.2626139268299729,0.19925809290296645,0.018223757012407745,LSTM
S119,0.1446094915716115,0.27031044211298777,0.1596423127672685,0.2298101729591862,0.17309278887526838,0.022534791713678427,ANN
S120,0.20418625103011057,0.13952625706822186,0.20339220369610334,0.18580043030190194,0.2502947948884562,0.016800063015206635,CNN-LSTM
S121,0.17674372717816436,0.12011031368892791,0.1019742324188834,0.15170861368607097,0.4363074883394157,0.013155624688537234,CNN-LSTM
S122,0.20392388423307278,0.18225241255619895,0.11663962709325221,0.27167341889740854,0.20001333208089758,0.025497325139170204,LSTM
S123,0.20554326730270356,0.20020999526268984,0.14105410103363886,0.2556702276035748,0.16099399803573308,0.036528410761660225,LSTM
S124,0.27175884383534743,0.13359379939997149,0.1684639846434608,0.19456166917021236,0.19035850982318886,0.041263193127819245,1D-CNN
S125,0.1807122939363907,0.14376524162165757,0.21599055702845119,0.1852890438500592,0.2419195889787114,0.032323274584730236,CNN-LSTM
S126,0.15919071165210297,0.17390088008509286,0.22130281451911493,0.22244041572062945,0.187323882872153,0.035841295150906116,LSTM
S127,0.22297882977989306,0.19944867431508476,0.2292887292069225,0.17255329499568126,0.14331070293599843,0.03241976876642048,BiLSTM
S128,0.19104819503145934,0.22418992555268313,0.22819491054854507,0.18334996253462996,0.14618651814570435,0.02703048818697824,BiLSTM
S129,0.2259348843167409,0.2348362345501297,0.20671652090110781,0.16847937333693727,0.14255519046448892,0.021477796430596736,ANN
S130,0.19849021244391202,0.23893059366363004,0.18041368647902034,0.21029124873196883,0.14450035235208944,0.02737390632937885,ANN
S131,0.17600509219698415,0.1784930361022887,0.22451955188269296,0.23824252100674925,0.15635286423956393,0.02638693457172017,LSTM
S132,0.16003524176076228,0.1536331793828127,0.2395148970740415,0.202898648370503,0.2229244004452489,0.02099363296663111,BiLSTM
S133,0.1529433494464817,0.1290577209059384,0.1878127812107288,0.16609443072214283,0.3467690285667528,0.017322689147955546,CNN-LSTM
S134,0.18408500720250803,0.16194236614014426,0.14137451767745352,0.21846069312218414,0.274137973231605,0.019999442626104483,CNN-LSTM
S135,0.17085667741883606,0.1593841999624924,0.14338810261247095,0.23002752481429226,0.2795402955019216,0.016803199689987197,CNN-LSTM
S136,0.22603308578513295,0.1394199006316167,0.12757470542140667,0.26583119582082443,0.21883411729618868,0.0223069950448305,LSTM
S137,0.19129550680727334,0.14470106161085705,0.1770960320567575,0.22041580136098962,0.22923031534289975,0.03726128282122266,CNN-LSTM
S138,0.1509862919353145,0.17838675953417385,0.20350214545131368,0.239587408871612,0.19416985310001078,0.033367541107574825,LSTM
S139,0.18723754649766047,0.19632633460998863,0.21582832680906094,0.19472651778010855,0.17356635724002006,0.03231491706316238,BiLSTM
S140,0.18593073046524797,0.20117735885186108,0.21647215648254567,0.1866475414375129,0.18060532851864988,0.029166884244182588,BiLSTM
S141,0.16198209203049277,0.24108343682966463,0.22760705862949407,0.18798598815661635,0.15533965018445722,0.026001774169275134,ANN
S142,0.21441103369351125,0.2879456138119097,0.18521348511168112,0.14707303123461102,0.1461123559241327,0.019244480224155536,ANN
S143,0.21195085376541672,0.1965252789622822,0.1572258230095808,0.22152880543572878,0.19294510172309592,0.01982413710389701,LSTM
S144,0.17075892957373015,0.1867947387191475,0.203155288560606,0.22943366197743836,0.18727419914219395,0.022583182026882732,LSTM
S145,0.17189423361274234,0.15533914396875823,0.26971015401555865,0.18621621220066026,0.1943322193557839,0.02250803684649519,BiLSTM
S146,0.17280369941028761,0.15864721657305625,0.2887042319259176,0.15172924601728302,0.21137436617944594,0.01674123989400958,BiLSTM
S147,0.15712422364607126,0.2884605755692706,0.13295161931331714,0.17436534507363538,0.232787458085636,0.014310778312068192,ANN
S148,0.21483303622592917,0.1397783218237453,0.09523445487925508,0.2689692417163417,0.2670748934704893,0.01411005188423957,LSTM
S149,0.24870925979987613,0.23602856673156827,0.10166922765661673,0.15578531539527055,0.23461697693070058,0.02319065348596746,1D-CNN
S150,0.25436134413312866,0.2234234103591393,0.123014673037891,0.1701826712667239,0.19697652385247633,0.032041377350640964,1D-CNN
S151,0.19896890513540977,0.20578536952961352,0.1888133898656639,0.17076470576837643,0.20276631481563534,0.03290131488530156,ANN
S152,0.16983158636841814,0.17549597896442437,0.22056536554980685,0.24757164497144268,0.15716307827449952,0.029372345871409345,LSTM
S153,0.1317966228268446,0.28006197440650793,0.22160945409529395,0.21312677287967305,0.13380576303627112,0.019599412755409856,ANN
S154,0.19886418563069616,0.18529095625884906,0.19430996820665683,0.254978566761718,0.14700376376226526,0.01955255937981356,LSTM
