Segment,1D-CNN,LSTM,BiLSTM,CNN-LSTM,GRU,ANN,Selected
S2007,0.1692986777587897,0.06542195412011442,0.08509800420637975,0.09122985153737974,0.5585341218924379,0.0304173904848994,GRU
S2008,0.1475428410722824,0.0294575531063089,0.04820588604375601,0.06024898765220491,0.7067665086969636,0.0077782234284824335,GRU
S2009,0.051829039147394534,0.028175886006454508,0.04999125622219956,0.0633406087897189,0.8014372391410951,0.005225970693137373,GRU
S2010,0.15887634924694166,0.10431268958770927,0.16624224929142659,0.22752340302041302,0.3171420005334576,0.02590330832005164,GRU
S2011,0.21977524688653913,0.21790905401923963,0.19570604191424054,0.21524158289186088,0.11574178330091597,0.035626290987205024,1D-CNN
S2012,0.22563844409040185,0.23210127599860536,0.2064331990469393,0.19385597725127907,0.1035409360720635,0.03843016754071085,LSTM
S2013,0.23786138392273695,0.19469839190301605,0.18822842772697299,0.1956001000245119,0.1306792641108159,0.05293243231194599,1D-CNN
S2014,0.2436189426400733,0.18565321021112907,0.17860745665411323,0.21080315017286202,0.1418999373175369,0.039417303004285205,1D-CNN
S2015,0.2307847049195685,0.20457634934344632,0.17423772153619685,0.21990478670524793,0.14419409467767605,0.026302342817864796,1D-CNN
S2016,0.25967765694136036,0.18505506441153521,0.16052793274900046,0.1951277267685199,0.16116397993481194,0.03844763919477127,1D-CNN
S2017,0.4527358996884411,0.10923347701467624,0.10908653090638529,0.14514729955572953,0.14312559062647356,0.0406712022082942,1D-CNN
S2018,0.46511827589684307,0.07621911810298553,0.07754679267573346,0.1432013637593047,0.20290996156356353,0.03500448800156975,1D-CNN
S2019,0.16002254297060214,0.1542255714921778,0.21961710014186972,0.19091256401190596,0.24516052215920447,0.030061699224240505,GRU
S2020,0.2329962373377569,0.16709206277394012,0.1563549227286712,0.2420581094320861,0.17020225489609658,0.03129641283144848,CNN-LSTM
S2021,0.1816091700052506,0.17675215622973492,0.19349250565386428,0.24192938527977798,0.1851349322086674,0.021081850622707326,CNN-LSTM
S2022,0.10078400125255298,0.1850670936057403,0.34099283416304926,0.20274230637546456,0.1602487744994857,0.01016499010370568,BiLSTM
S2023,0.15621301665119158,0.1950834873221706,0.17861108392386524,0.17988098498957503,0.2623942753691095,0.027817151744088744,GRU
S2024,0.19405223979218822,0.2198680373236531,0.15797192619773026,0.1698400844895893,0.2293751105255597,0.028892601671279328,GRU
S2025,0.15458327343477207,0.20819113394411157,0.22253120035259263,0.16271477440394014,0.2210754208454503,0.030904197019132117,BiLSTM
S2026,0.1651080585775146,0.21033545864752795,0.20156543275760505,0.16341604887520114,0.24825633673844752,0.011318664403702702,GRU
S2027,0.14945818285095355,0.247309628843246,0.177687136962622,0.1649423805567095,0.2341461222985155,0.02645654848795359,LSTM
S2028,0.2464325574861252,0.17376933009251008,0.15371496356236958,0.14167218461339734,0.247648698527032,0.03676226571856577,GRU
S2029,0.21625437123948035,0.149418545455276,0.1557087341615574,0.1519633356558952,0.30055045363084426,0.026104559856946444,GRU
S2030,0.1948307125092481,0.15463858630256463,0.14912420063412724,0.15849153080672546,0.31805763221708294,0.02485733753025113,GRU
S2031,0.1700333346407652,0.13186562400070423,0.1489308181847417,0.15033397497151071,0.3625134685311835,0.036322779671095116,GRU
S2032,0.20300421574979238,0.09919710549664269,0.130716911364756,0.1445714629143041,0.3982079464050711,0.024302358069435245,GRU
S2033,0.1983002247432065,0.16770588583799947,0.18143300536109525,0.21070599914234675,0.2195384526082575,0.02231643230709618,GRU
S2034,0.2054244312393963,0.209931993367625,0.21363032372240062,0.2016127454190717,0.13800839156134315,0.031392114690162384,BiLSTM
S2035,0.19152907737789007,0.2146353156769739,0.20577493601509692,0.2033329212900588,0.1516229003621213,0.03310484927785871,LSTM
S2036,0.2273537762567358,0.20662010339991785,0.1926889496133564,0.19581947375970016,0.14609116414008697,0.031426532830202365,1D-CNN
S2037,0.20456342306664665,0.2110421907170168,0.19562335505177347,0.199850089345013,0.15193447278291486,0.03698646903663455,LSTM
S2038,0.234130384322826,0.1870989082442968,0.1797342422124964,0.18886467470474597,0.16582385327261875,0.044347937243016854,1D-CNN
S2039,0.41047327375678755,0.11956754497863903,0.1267438850932053,0.1419768571583553,0.1513962632001517,0.04984217581286099,1D-CNN
S2040,0.5862326164834069,0.055802864348327215,0.06536677040913087,0.0810040682761875,0.10787220903837133,0.10372147144457568,1D-CNN
S2041,0.032917600338229026,0.026456607987009117,0.05922447647699082,0.14915411387342514,0.7279149354467765,0.004332265877570821,GRU
