,1D-CNN,ANN,BiLSTM,LSTM,CNN-LSTM,GRU,Selected
S27,0.1319662060837015,0.11963316640394747,0.1760651851478045,0.34506538610339993,0.19233887405030595,0.034931182210841294,LSTM
S28,0.15699922067137828,0.23703684235852243,0.1976763335225962,0.10239467400690992,0.27482216400814347,0.031070765432450163,CNN-LSTM
S29,0.08181228868620806,0.13500152106081348,0.37616435014960564,0.06120571278487702,0.32595522221942297,0.019860905099072342,BiLSTM
S30,0.15807943287805842,0.1270908971885303,0.3093248433484066,0.15825989113741146,0.1579612801647189,0.08928365528287463,BiLSTM
S31,0.20055071811282205,0.15067544642747407,0.18314105103301212,0.17975233270821123,0.20303794772927372,0.08284250398920698,CNN-LSTM
S32,0.23053374795651854,0.23033520906977598,0.1487351045421047,0.147130721412245,0.2019280406110197,0.04133717640833619,1D-CNN
S33,0.04989744143195102,0.01972125589507566,0.8258238523652497,0.03015665273965025,0.06351095839874786,0.01088983916932525,BiLSTM
S34,0.2103321048901217,0.16286745258335159,0.15578498226929835,0.18907261727806798,0.17506432219132792,0.1068785207878326,1D-CNN
S35,0.15236867965919446,0.18005297100572035,0.15519366713825725,0.31710903049144096,0.1374958646389779,0.057779787066409224,LSTM
S36,0.42146455892529217,0.08716929521454939,0.20907542878545385,0.13885781925438268,0.09418322435868977,0.04924967346163208,1D-CNN
S37,0.12245181559612002,0.10500510375180482,0.1885541393582784,0.16847067020500617,0.36255514555611645,0.05296312553267348,CNN-LSTM
S38,0.16234792428040865,0.17040724464289642,0.29672640306939363,0.18123255324655166,0.1495258326853883,0.039760042075361025,BiLSTM
S39,0.14759859257064212,0.1446584115767752,0.25512237393848886,0.20600022929981582,0.1457662475105845,0.10085414510369331,BiLSTM
S40,0.19805001309375794,0.1755766833508398,0.17473129871018386,0.19882759457919486,0.19462748792935894,0.05818692233666495,LSTM
S41,0.1546251131182683,0.2441820332787204,0.32394662211255865,0.09162482076855914,0.12340684651104968,0.06221456421084401,BiLSTM
S42,0.5703499241968821,0.1144110658510485,0.0784184870903503,0.0969956222577764,0.10346709644955762,0.036357804154384846,1D-CNN
