Segment,LSTM,1D-CNN,ANN,BiLSTM,Selected
S82,0.3130285545187114,0.3187707509752903,0.3276874976019314,0.040513196904067156,ANN
S83,0.399468616600834,0.25193762257198443,0.29281927459039825,0.05577448623678204,LSTM
S84,0.21885507737645896,0.25049004323600166,0.48924318912944675,0.04141169025809288,ANN
S85,0.6987100011086885,0.1239297734831599,0.08653599669807122,0.09082422871008052,LSTM
S86,0.3159208057190837,0.463230423373195,0.19101160169813244,0.029837169209588205,1D-CNN
S87,0.04951131381729258,0.6021563054486578,0.3407275885366393,0.0076047921974097595,1D-CNN
S88,0.02006670654048944,0.8952765746936069,0.080810277407786,0.0038464413581174948,1D-CNN
S89,0.1418744874133549,0.5643998631443751,0.2676543550531024,0.026071294389167304,1D-CNN
S90,0.16259640049497268,0.3214276777581163,0.4840422433163384,0.03193367843057282,ANN
S91,0.3009094469339344,0.34064944380505946,0.32347843489021316,0.034962674370793055,1D-CNN
S92,0.2973554179468487,0.3498613242048286,0.31915878012553,0.03362447772279177,1D-CNN
S93,0.33339905134464265,0.2843651956368717,0.3393499625221727,0.042885790496312706,ANN
S94,0.14745657641207935,0.3230178677453663,0.5066008781411703,0.022924677701384687,ANN
S95,0.06641698296415341,0.6228222830183607,0.2966151794185799,0.014145554598906401,1D-CNN
S96,0.44397337780728796,0.2523320867016884,0.21420959501299008,0.0894849404780334,LSTM
S97,0.6130285376428702,0.18331115638315493,0.13385603707781063,0.06980426889616478,LSTM
S98,0.2502271481240136,0.28417974984485156,0.42855779918877324,0.03703530284236127,ANN
S99,0.023188671216484363,0.21683511353560622,0.7548005182828542,0.005175696965055102,ANN
S100,0.011485356728817573,0.9541649870906932,0.031580727022129954,0.002768929158358892,1D-CNN
S101,0.15601022851096627,0.4365153038903491,0.3800911344987641,0.027383333099919503,1D-CNN
S102,0.4029238148913949,0.24788695501528357,0.31007603962923863,0.039113190464083084,LSTM
S103,0.3755454123300213,0.21762266968364458,0.34349282516592955,0.06333909282040481,LSTM
S104,0.8580707251178376,0.03907910227423412,0.041380522275863425,0.061469650332064724,LSTM
S105,0.6034741470011246,0.14079042396444771,0.18082400897544368,0.07491142005898367,LSTM
S106,0.6017361698239485,0.18413134911747125,0.12053112063469763,0.09360136042388274,LSTM
S107,0.5128195271618089,0.16404283372353023,0.21078982224375642,0.11234781687090445,LSTM
S108,0.22764032687303895,0.244866372851888,0.4664061276162389,0.06108717265883378,ANN
S109,0.14049934883343276,0.6287879489296376,0.2077226735766484,0.022990028660280753,1D-CNN
S110,0.5130485470229706,0.1997145275981448,0.23261135687874682,0.05462556850013761,LSTM
S111,0.2701233590794365,0.3639694571124481,0.3366887017789292,0.02921848202918602,1D-CNN
S112,0.2406237004932337,0.2024476053349919,0.48873825031695517,0.06819044385481926,ANN
S113,0.47687576644857343,0.28521102963700334,0.14577561315514284,0.09213759075928037,LSTM
S114,0.2518416568286999,0.34594708705615107,0.27577914705075157,0.1264321090643976,1D-CNN
S115,0.1868266696774694,0.1452121770243054,0.5309796564299277,0.13698149686829758,ANN
S116,0.24188597334088097,0.27958292703883453,0.4133090617361063,0.0652220378841782,ANN
S117,0.2368182077692749,0.3061304207902842,0.3982857827329391,0.058765588707501995,ANN
S118,0.18109433570457756,0.38790538899289695,0.39421974267939724,0.03678053262312787,ANN
S119,0.4699592150288696,0.3560268985969263,0.13614522003602403,0.0378686663381798,LSTM
S120,0.5917290762529771,0.1805020128656538,0.20097924224826533,0.026789668633102847,LSTM
S121,0.15919572873846294,0.5334567627286889,0.2956916539172179,0.01165585461563052,1D-CNN
S122,0.281542436859599,0.41754654919333867,0.27364455718312997,0.02726645676393177,1D-CNN
S123,0.19856719716510804,0.37137333342173373,0.41038115151391685,0.019678317899241484,ANN
S124,0.32878536032802197,0.3351328831671461,0.3055645909900883,0.03051716551474408,1D-CNN
S125,0.35948210944227976,0.40995466677204084,0.19717894179038734,0.033384281995291386,1D-CNN
S126,0.29951505325581407,0.45913401423442385,0.2121224356578334,0.02922849685192798,1D-CNN
S127,0.5561850287724481,0.1824803453245672,0.21513498927270902,0.04619963663027561,LSTM
S128,0.32887889709468277,0.29973107321914555,0.3114268861305638,0.05996314355560738,LSTM
S129,0.37531399043975205,0.2820650484186915,0.2829506755055845,0.05967028563597199,LSTM
S130,0.14946843597925347,0.37007599918680795,0.45612143608529165,0.024334128748647568,ANN
S131,0.22267973935220628,0.4814945721003755,0.26082097686955086,0.03500471167786721,1D-CNN
S132,0.6942834019402631,0.07105724506575145,0.20342288492443453,0.031236468069551,LSTM
S133,0.33006375957621936,0.28270215874087784,0.3558163876142385,0.03141769406866414,ANN
S134,0.12277430126782743,0.48160615610009677,0.3798106457396027,0.015808896892472887,1D-CNN
S135,0.25167252119897154,0.3225926755826638,0.3881603927053333,0.03757441051303111,ANN
S136,0.38403975724953954,0.2519258435778048,0.2840040200805237,0.08003037909213102,LSTM
S137,0.6790877021911886,0.12145423206069683,0.13743499066312315,0.06202307508499175,LSTM
S138,0.14818009726372883,0.25815141686391424,0.5707784897577186,0.022889996114638378,ANN
S139,0.5746028106495336,0.16916568251573288,0.21982294642703923,0.036408560407694725,LSTM
S140,0.39133586036056656,0.35358505589364086,0.17574475885374208,0.07933432489205053,LSTM
S141,0.2622278113672892,0.30364517351445797,0.37471078619853787,0.059416228919715215,ANN
S142,0.3117083118192156,0.348475945392385,0.28757077963639743,0.05224496315200199,1D-CNN
S143,0.1741378553874265,0.2449689031152614,0.5494074137523507,0.031485827744960955,ANN
