Segment,1D-CNN,LSTM,BiLSTM,CNN-LSTM,GRU,ANN,Selected
S30,0.42268654697851415,0.18951407134364337,0.0961840047513976,0.1777580463171456,0.09682184229838596,0.017035488310913487,1D-CNN
S31,0.15847767019015338,0.2621978265368084,0.23192646082012852,0.19052540697429549,0.13498390821831627,0.021888727260297183,LSTM
S32,0.17026512361074703,0.21595341245759553,0.1945120560335442,0.17346694082215308,0.2126751305954261,0.033127336480533516,LSTM
S33,0.200782675067632,0.18241583953368276,0.15616054049752717,0.21791027927496895,0.22302400457049723,0.019706661055691868,GRU
S34,0.18735299118316454,0.22655924188790114,0.16592292018351312,0.2446443480541234,0.15713989669018988,0.01838060200110866,CNN-LSTM
S35,0.14773379042982654,0.2647255204571768,0.1849742415575889,0.21322780676902298,0.15868161256701693,0.030657028219368634,LSTM
S36,0.20404667289564432,0.19231140790357715,0.19710258126472743,0.17693403635976573,0.18323803861831153,0.046367262957974185,1D-CNN
S37,0.07710298570318723,0.27433116303632094,0.2977538062826604,0.18724184350683987,0.15016040391380112,0.013409797557188022,BiLSTM
S38,0.24541403306203746,0.18969901311687537,0.20588151428361662,0.15257168132640658,0.16913453830535566,0.03729921990570853,1D-CNN
S39,0.24116442524110707,0.16241845237891145,0.18295279587177052,0.16892385533501875,0.2066749477221815,0.03786552345101067,1D-CNN
S40,0.2292565221947906,0.13597939634384043,0.1677874020369892,0.16618326333295247,0.2630637179570013,0.03772969813442636,GRU
S41,0.21682102648181026,0.18545228393128038,0.17725633341369088,0.20143547194013603,0.1923017114637075,0.02673317276937591,1D-CNN
S42,0.2048018668414501,0.21425731391124567,0.19093500315014092,0.19410027444089187,0.1686799692843176,0.02722557237195394,LSTM
S43,0.19307898459994335,0.2189723019367373,0.2022999579077621,0.1887783328737372,0.1691060766731994,0.027764346008621273,LSTM
S44,0.20625179302295857,0.1871605032241677,0.2018122139313425,0.18354223733135705,0.2012395334515176,0.019993719038656044,1D-CNN
S45,0.014912279610811003,0.5857425895568683,0.2064481925714733,0.1350781399136835,0.05576801813205628,0.002050780215107571,LSTM
